H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
0.121,0.019,0.092,0.083,0.081,0.05,0.101,0.14,0.102,0.264,0.101,0.02,0.091,0.053,0.111,0.02,0.071,0.16,0.071,0.164,0.081
0.116,0.02,0.101,0.08,0.071,0.06,0.111,0.113,0.092,0.291,0.115,0.08,0.101,0.049,0.112,0.06,0.094,0.181,0.071,0.194,0.072
0.131,0.02,0.101,0.073,0.081,0.07,0.102,0.11,0.091,0.254,0.122,0.039,0.106,0.039,0.132,0.003,0.088,0.15,0.071,0.133,0.061
0.135,-0.004,0.101,0.08,0.083,0.042,0.091,0.101,0.101,0.266,0.102,0.059,0.091,0.03,0.122,0.019,0.084,0.171,0.061,0.214,0.071
0.134,0.069,0.112,0.06,0.102,0.06,0.134,0.332,0.092,0.831,0.081,0.06,0.074,0.04,0.122,-0.021,0.082,0.14,0.091,0.113,0.072
0.185,0.171,0.131,0.09,0.082,0.043,0.101,0.271,0.115,0.291,0.101,0.103,0.082,0.019,0.112,0.019,0.081,0.194,0.061,0.141,0.061
0.122,0.049,0.102,0.06,0.085,0.05,0.101,0.13,0.101,0.275,0.101,0.041,0.1,0.053,0.112,0.04,0.091,0.141,0.081,0.103,0.071
0.121,0.063,0.101,0.09,0.071,0.06,0.102,0.113,0.101,0.271,0.092,0.042,0.081,0.04,0.111,0.04,0.081,0.164,0.061,0.15,0.061
0.121,0.03,0.102,0.07,0.071,0.02,0.094,0.151,0.111,0.274,0.112,0.059,0.102,0.11,0.125,0.019,0.101,0.141,0.111,0.143,0.102
0.182,0.123,0.102,0.09,0.081,0.039,0.112,0.144,0.101,0.272,0.105,0.019,0.091,0.07,0.121,0.003,0.078,0.154,0.082,0.16,0.101
0.132,0.079,0.091,0.054,0.091,0.049,0.102,0.231,0.106,0.261,0.091,0.02,0.084,0.1,0.122,-0.021,0.091,0.151,0.084,0.171,0.081
0.112,0.09,0.101,0.102,0.071,0.019,0.092,0.211,0.114,0.261,0.122,0.003,0.07,0.101,0.121,-0.021,0.071,0.161,0.064,0.181,0.082
0.115,0.08,0.091,0.1,0.091,0.1,0.085,0.13,0.101,0.264,0.102,0.05,0.101,0.029,0.132,0.003,0.081,0.15,0.071,0.181,0.074
0.122,0.09,0.101,0.07,0.095,0.081,0.102,0.12,0.091,0.254,0.102,0.029,0.092,0.059,0.115,0.003,0.067,0.161,0.071,0.174,0.071
0.141,0.195,0.091,0.08,0.081,0.05,0.104,0.436,0.102,0.332,0.114,0.403,0.094,0.06,0.121,0.06,0.082,0.12,0.084,0.091,0.081
0.135,0.17,0.082,0.143,0.071,0.11,0.092,0.425,0.081,0.286,0.081,0.1,0.081,0.05,0.122,0.072,0.102,0.15,0.111,0.093,0.093
0.124,0.111,0.091,0.1,0.082,0.06,0.084,0.211,0.091,0.274,0.102,0.08,0.091,0.03,0.115,0.06,0.071,0.14,0.092,0.123,0.061
0.125,0.07,0.101,0.11,0.071,0.06,0.084,0.13,0.092,0.325,0.112,0.14,0.081,0.04,0.115,0.049,0.082,0.14,0.081,0.154,0.051
0.131,0.124,0.082,0.12,0.081,0.03,0.091,0.143,0.092,0.345,0.091,0.14,0.081,0.03,0.115,0.05,0.081,0.15,0.092,0.153,0.061
0.117,0.039,0.102,0.1,0.071,0.04,0.095,0.131,0.091,0.265,0.092,0.069,0.071,0.06,0.112,0.029,0.085,0.161,0.052,0.182,0.061
0.122,0.144,0.102,0.05,0.091,0.143,0.122,0.291,0.105,0.333,0.091,0.073,0.071,0.05,0.101,0.061,0.081,0.163,0.082,0.566,0.112
0.101,0.08,0.115,0.03,0.091,0.09,0.082,0.173,0.121,0.283,0.094,0.003,0.068,0.08,0.121,0.029,0.061,0.174,0.081,0.141,0.071
0.092,0.069,0.121,0.105,0.062,0.07,0.112,0.129,0.102,0.274,0.112,0.003,0.077,0.063,0.111,0.03,0.071,0.15,0.072,0.143,0.061
0.121,0.04,0.091,0.125,0.071,0.039,0.082,0.15,0.094,0.272,0.101,0.05,0.075,0.04,0.111,0.08,0.081,0.184,0.071,0.16,0.071
0.111,0.06,0.091,0.103,0.072,0.101,0.08,0.232,0.104,0.302,0.114,0.07,0.071,0.05,0.111,0.06,0.071,0.195,0.1,0.181,0.071
0.092,0.1,0.084,0.07,0.051,0.15,0.071,0.134,0.092,0.292,0.105,0.029,0.072,0.09,0.101,0.08,0.081,0.153,0.062,0.12,0.061
0.121,0.181,0.074,0.161,0.082,0.16,0.104,0.151,0.091,0.284,0.101,0.05,0.071,0.1,0.115,0.069,0.082,0.16,0.092,0.143,0.071
