H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
0.114,0.1,0.101,0.04,0.071,0.143,0.082,0.351,0.075,0.546,0.091,0.11,0.082,0.059,0.155,0.04,0.101,0.232,0.084,0.221,0.081
0.101,0.326,0.071,0.08,0.071,0.103,0.091,0.313,0.094,0.302,0.081,0.063,0.071,0.07,0.111,0.06,0.061,0.153,0.051,0.191,0.051
0.102,0.19,0.074,0.06,0.061,0.07,0.101,0.325,0.091,0.282,0.094,0.09,0.081,0.02,0.131,0.02,0.071,0.133,0.081,0.121,0.081
0.111,0.184,0.091,0.08,0.061,0.06,0.101,0.154,0.081,0.271,0.124,0.383,0.084,0.039,0.112,0.049,0.062,0.14,0.054,0.09,0.061
0.104,0.221,0.081,0.071,0.061,0.174,0.071,0.17,0.081,0.325,0.092,0.154,0.061,0.07,0.101,0.04,0.061,0.152,0.043,0.16,0.061
0.071,0.415,0.082,0.03,0.07,0.101,0.091,0.124,0.081,0.271,0.102,0.103,0.081,0.04,0.131,0.004,0.067,0.143,0.071,0.151,0.061
0.121,0.174,0.081,0.1,0.071,0.031,0.091,0.114,0.092,0.251,0.104,0.02,0.091,0.07,0.162,0.002,0.068,0.124,0.082,0.121,0.061
0.114,0.131,0.081,0.111,0.051,0.049,0.105,0.149,0.082,0.255,0.101,0.11,0.072,0.059,0.135,0.003,0.057,0.181,0.072,0.173,0.082
0.104,0.181,0.071,0.11,0.071,0.113,0.092,0.15,0.071,0.305,0.101,0.191,0.094,0.08,0.111,0.04,0.071,0.184,0.081,0.221,0.091
0.091,0.12,0.081,0.064,0.057,0.164,0.091,0.171,0.072,0.294,0.111,0.184,0.061,0.101,0.111,0.08,0.101,0.153,0.082,0.18,0.061
0.071,0.261,0.094,0.04,0.071,0.08,0.101,0.141,0.074,0.231,0.091,0.081,0.074,0.039,0.131,0.003,0.058,0.16,0.071,0.194,0.081
0.131,0.195,0.081,0.08,0.082,0.059,0.105,0.15,0.081,0.254,0.092,0.11,0.081,0.07,0.114,0.05,0.081,0.191,0.061,0.264,0.061
0.111,0.171,0.061,0.053,0.061,0.07,0.111,0.13,0.082,0.265,0.081,0.122,0.084,0.04,0.132,0.019,0.061,0.211,0.084,0.181,0.061
0.112,0.134,0.071,0.1,0.082,0.049,0.115,0.17,0.102,0.405,0.101,0.121,0.072,0.042,0.112,0.019,0.081,0.161,0.091,0.143,0.072
0.122,0.174,0.082,0.07,0.07,0.08,0.112,0.163,0.081,0.285,0.081,0.12,0.081,0.101,0.115,0.05,0.071,0.15,0.071,0.174,0.061
0.101,0.09,0.093,0.079,0.065,0.16,0.101,0.131,0.094,0.291,0.092,0.123,0.091,0.05,0.111,0.02,0.071,0.164,0.082,0.18,0.071
0.126,0.11,0.101,0.05,0.071,0.153,0.092,0.13,0.081,0.264,0.092,0.089,0.092,0.05,0.114,0.003,0.077,0.151,0.061,0.205,0.081
0.112,0.14,0.071,0.103,0.061,0.06,0.101,0.132,0.094,0.261,0.081,0.111,0.094,0.06,0.121,0.05,0.071,0.153,0.072,0.16,0.071
0.091,0.162,0.081,0.063,0.051,0.08,0.101,0.131,0.092,0.274,0.101,0.1,0.085,0.039,0.122,0.029,0.071,0.161,0.065,0.16,0.071
0.111,0.123,0.081,0.08,0.082,0.13,0.084,0.14,0.082,0.264,0.091,0.09,0.091,0.04,0.132,0.003,0.06,0.14,0.072,0.14,0.071
0.121,0.131,0.091,0.049,0.075,0.09,0.101,0.12,0.082,0.314,0.093,0.13,0.084,0.05,0.121,0.08,0.081,0.164,0.051,0.2,0.072
0.091,0.13,0.081,0.093,0.061,0.171,0.081,0.14,0.095,0.313,0.111,0.285,0.091,0.12,0.115,0.1,0.071,0.151,0.062,0.143,0.061
0.101,0.174,0.081,0.111,0.061,0.1,0.096,0.353,0.101,0.324,0.082,0.07,0.064,0.039,0.102,0.039,0.041,0.496,0.081,0.305,0.081
0.132,0.123,0.101,0.04,0.081,0.151,0.094,0.201,0.111,0.295,0.101,0.12,0.081,0.03,0.134,0.09,0.071,0.181,0.071,0.164,0.081
0.131,0.224,0.111,0.03,0.071,0.1,0.094,0.141,0.101,0.295,0.082,0.12,0.091,0.02,0.111,0.054,0.08,0.16,0.061,0.161,0.074
0.104,0.15,0.071,0.112,0.051,0.069,0.105,0.11,0.101,0.265,0.081,0.12,0.081,0.1,0.095,0.11,0.051,0.16,0.062,0.153,0.051
0.084,0.141,0.081,0.08,0.071,0.07,0.084,0.13,0.081,0.285,0.101,0.12,0.082,0.079,0.085,0.059,0.072,0.15,0.061,0.13,0.075
0.111,0.12,0.084,0.08,0.061,0.131,0.081,0.123,0.081,0.262,0.101,0.074,0.071,0.07,0.101,0.04,0.061,0.153,0.061,0.141,0.051
0.123,0.113,0.081,0.12,0.071,0.121,0.074,0.14,0.081,0.275,0.101,0.08,0.081,0.06,0.111,0.03,0.065,0.14,0.051,0.182,0.071
0.092,0.13,0.082,0.1,0.074,0.08,0.081,0.131,0.071,0.244,0.091,0.09,0.071,0.07,0.115,0.039,0.061,0.151,0.071,0.133,0.071
0.081,0.134,0.081,0.08,0.071,0.041,0.091,0.114,0.071,0.251,0.072,0.133,0.071,0.13,0.102,0.079,0.085,0.221,0.081,0.15,0.075
0.071,0.08,0.081,0.13,0.084,-0.003,0.094,0.12,0.081,0.295,0.091,0.261,0.115,0.08,0.121,0.041,0.06,0.346,0.071,0.335,0.061
0.081,0.143,0.082,0.07,0.061,0.029,0.081,0.134,0.081,0.251,0.081,0.093,0.071,0.06,0.101,0.04,0.061,0.194,0.061,0.211,0.062
0.071,0.131,0.074,0.11,0.061,0.071,0.081,0.154,0.071,0.322,0.081,0.113,0.071,0.06,0.091,0.08,0.071,0.184,0.061,0.335,0.072
0.101,0.12,0.082,0.089,0.061,0.134,0.061,0.191,0.082,0.365,0.101,0.093,0.071,0.1,0.102,0.079,0.061,0.174,0.061,0.221,0.071
0.071,0.14,0.081,0.1,0.064,0.111,0.071,0.181,0.091,0.375,0.091,0.153,0.071,0.101,0.101,0.05,0.071,0.163,0.071,0.172,0.061
0.125,0.14,0.091,0.09,0.072,0.082,0.102,0.12,0.092,0.304,0.091,0.14,0.072,0.083,0.111,0.05,0.071,0.17,0.085,0.17,0.061
0.092,0.13,0.081,0.09,0.061,0.174,0.091,0.161,0.081,0.304,0.091,0.124,0.071,0.07,0.101,0.081,0.07,0.174,0.061,0.191,0.06
0.112,0.09,0.091,0.07,0.061,0.133,0.081,0.131,0.081,0.314,0.082,0.14,0.071,0.054,0.092,0.089,0.071,0.181,0.074,0.221,0.051
0.122,0.144,0.091,0.13,0.071,0.131,0.085,0.13,0.091,0.315,0.101,0.171,0.081,0.113,0.132,0.526,0.061,0.22,0.065,0.1,0.061
0.131,0.104,0.081,0.09,0.071,0.09,0.101,0.134,0.091,0.261,0.084,0.12,0.092,0.11,0.111,0.063,0.061,0.151,0.051,0.22,0.075
0.105,0.1,0.091,0.09,0.072,0.123,0.092,0.16,0.081,0.305,0.091,0.12,0.082,0.05,0.094,0.06,0.081,0.151,0.071,0.124,0.071
0.102,0.18,0.085,0.079,0.062,0.099,0.092,0.264,0.092,0.345,0.102,0.13,0.091,0.06,0.114,0.07,0.051,0.171,0.071,0.133,0.051
0.081,0.211,0.071,0.063,0.062,0.11,0.091,0.244,0.091,0.426,0.111,0.1,0.081,0.02,0.112,0.052,0.081,0.171,0.081,0.165,0.071
0.11,0.171,0.072,0.06,0.064,0.141,0.091,0.131,0.091,0.274,0.112,0.11,0.074,0.03,0.111,0.029,0.072,0.2,0.064,0.242,0.082
0.095,0.16,0.082,0.069,0.061,0.124,0.081,0.14,0.071,0.275,0.081,0.12,0.071,0.07,0.125,0.003,0.057,0.181,0.081,0.185,0.071
0.084,0.141,0.091,0.07,0.061,0.143,0.081,0.131,0.081,0.284,0.081,0.141,0.071,0.06,0.104,0.05,0.071,0.191,0.061,0.264,0.071
0.111,0.141,0.082,0.062,0.071,0.08,0.081,0.12,0.091,0.255,0.092,0.09,0.084,0.05,0.121,0.003,0.068,0.161,0.081,0.315,0.081
0.105,0.13,0.071,0.08,0.061,0.144,0.081,0.14,0.091,0.277,0.101,0.13,0.072,0.049,0.095,0.039,0.082,0.17,0.061,0.214,0.061
0.115,0.1,0.091,0.09,0.071,0.073,0.081,0.121,0.091,0.254,0.101,0.1,0.071,0.06,0.116,0.038,0.092,0.16,0.071,0.214,0.071
0.121,0.11,0.095,0.059,0.071,0.07,0.092,0.13,0.094,0.281,0.083,0.133,0.071,0.06,0.121,0.021,0.08,0.164,0.081,0.221,0.061
0.115,0.252,0.071,0.143,0.061,0.05,0.101,0.142,0.094,0.291,0.093,0.124,0.061,0.05,0.111,0.05,0.081,0.184,0.061,0.251,0.051
0.105,0.12,0.081,0.061,0.06,0.09,0.084,0.121,0.091,0.275,0.101,0.111,0.071,0.039,0.112,0.173,0.072,0.18,0.081,0.386,0.071
0.112,1.038,0.092,0.069,0.082,0.133,0.081,0.14,0.092,0.365,0.112,0.185,0.081,0.06,0.101,0.184,0.061,0.221,0.081,0.254,0.071
0.091,0.458,0.08,0.284,0.071,0.131,0.074,0.15,0.092,0.415,0.101,0.191,0.074,0.14,0.102,0.029,0.082,0.153,0.091,0.191,0.071
0.112,0.183,0.081,0.08,0.071,0.276,0.081,0.15,0.092,0.304,0.101,0.102,0.084,0.1,0.121,0.07,0.081,0.175,0.06,0.191,0.061
0.096,0.191,0.091,0.07,0.071,0.224,0.111,0.325,0.091,0.367,0.092,0.099,0.082,0.08,0.094,0.05,0.071,0.19,0.062,0.195,0.071
0.104,0.362,0.071,0.03,0.064,0.171,0.071,0.264,0.081,0.282,0.094,0.11,0.071,0.07,0.111,0.07,0.085,0.181,0.061,0.191,0.064
0.101,0.201,0.074,0.07,0.061,0.161,0.071,0.224,0.101,0.335,0.111,0.11,0.061,0.04,0.091,0.254,0.072,0.15,0.075,0.13,0.051
0.081,0.345,0.082,0.003,0.078,0.143,0.081,0.151,0.081,0.324,0.092,0.171,0.074,0.091,0.111,0.14,0.063,0.184,0.061,0.211,0.061
0.081,0.536,0.082,0.08,0.114,0.04,0.091,0.261,0.084,0.372,0.115,0.361,0.112,0.064,0.121,0.05,0.081,0.13,0.085,0.11,0.061
0.132,0.171,0.091,0.103,0.081,0.14,0.092,0.15,0.075,0.282,0.101,0.144,0.081,0.09,0.131,0.08,0.084,0.141,0.081,0.12,0.061
0.112,0.18,0.081,0.114,0.061,0.069,0.102,0.15,0.081,0.295,0.091,0.12,0.074,0.101,0.092,0.07,0.071,0.143,0.081,0.171,0.101
0.132,0.15,0.071,0.093,0.073,0.069,0.112,0.12,0.094,0.251,0.102,0.09,0.085,0.06,0.101,0.05,0.071,0.153,0.083,0.15,0.061
0.121,0.161,0.095,0.433,0.085,0.1,0.091,0.517,0.101,0.588,0.094,0.291,0.102,0.06,0.124,0.07,0.081,0.131,0.081,0.123,0.081
0.134,0.212,0.081,0.132,0.063,0.07,0.101,0.13,0.081,0.254,0.092,0.11,0.081,0.06,0.104,0.06,0.071,0.141,0.071,0.123,0.061
0.112,0.265,0.091,0.09,0.091,0.04,0.114,0.557,0.081,0.231,0.084,0.06,0.091,0.07,0.111,0.07,0.061,0.134,0.081,0.11,0.071
0.114,0.14,0.092,0.07,0.071,0.063,0.141,0.355,0.091,0.312,0.091,0.094,0.102,0.049,0.102,0.049,0.071,0.135,0.081,0.12,0.051
0.114,0.142,0.092,0.069,0.081,0.083,0.122,0.271,0.094,0.261,0.091,0.07,0.074,0.09,0.132,0.003,0.057,0.152,0.055,0.129,0.061
0.101,0.163,0.083,0.08,0.081,0.059,0.102,0.244,0.101,0.255,0.092,0.039,0.082,0.101,0.111,0.07,0.074,0.14,0.072,0.12,0.071
0.122,0.151,0.095,0.05,0.081,0.13,0.102,0.183,0.092,0.261,0.101,0.074,0.081,0.09,0.132,0.07,0.075,0.16,0.072,0.14,0.071
0.112,0.11,0.091,0.063,0.072,0.111,0.111,0.224,0.101,0.395,0.082,0.09,0.082,0.07,0.101,0.052,0.062,0.16,0.051,0.376,0.071
0.094,0.09,0.101,0.07,0.071,0.05,0.116,0.141,0.091,0.294,0.092,0.11,0.071,0.07,0.114,0.03,0.071,0.15,0.072,0.183,0.071
0.111,0.151,0.091,0.074,0.092,0.12,0.112,0.12,0.094,0.251,0.081,0.155,0.081,0.04,0.121,0.03,0.081,0.133,0.072,0.13,0.051
0.122,0.114,0.07,0.1,0.072,0.07,0.105,0.15,0.101,0.335,0.111,0.121,0.071,0.039,0.126,0.04,0.061,0.13,0.071,0.12,0.065
0.101,0.15,0.081,0.08,0.084,0.12,0.102,0.325,0.101,0.291,0.095,0.081,0.081,0.03,0.122,0.07,0.075,0.14,0.061,0.12,0.072
0.113,0.13,0.091,0.05,0.091,0.113,0.112,0.11,0.091,0.405,0.112,0.08,0.084,0.071,0.11,0.02,0.081,0.144,0.072,0.12,0.081
0.112,0.124,0.092,0.069,0.091,0.151,0.094,0.546,0.092,0.211,0.094,0.06,0.082,0.06,0.111,0.061,0.071,0.143,0.071,0.131,0.071
0.121,0.145,0.081,0.07,0.081,0.06,0.114,0.161,0.101,0.284,0.102,0.09,0.071,0.06,0.101,0.043,0.061,0.15,0.061,0.152,0.073
0.125,0.13,0.081,0.08,0.081,0.126,0.111,0.526,0.102,0.203,0.092,0.12,0.081,0.06,0.124,0.02,0.071,0.14,0.071,0.132,0.064
0.132,0.163,0.092,0.11,0.081,0.06,0.124,0.677,0.092,0.224,0.111,0.07,0.091,0.04,0.121,0.043,0.061,0.16,0.072,0.099,0.072
0.141,0.05,0.101,0.071,0.063,0.142,0.121,0.538,0.08,0.246,0.091,0.1,0.081,0.05,0.104,0.09,0.061,0.161,0.061,0.153,0.072
0.13,0.191,0.104,0.05,0.111,0.111,0.101,0.235,0.081,0.284,0.102,0.13,0.072,0.049,0.111,0.053,0.071,0.141,0.081,0.141,0.074
0.121,0.1,0.081,0.09,0.074,0.171,0.091,0.435,0.081,0.264,0.081,0.09,0.082,0.049,0.102,0.053,0.061,0.161,0.051,0.16,0.064
0.122,0.143,0.082,0.089,0.072,0.16,0.094,0.121,0.081,0.314,0.102,0.14,0.081,0.05,0.106,0.05,0.051,0.141,0.061,0.143,0.061
0.112,0.17,0.091,0.093,0.093,0.129,0.101,0.204,0.081,0.302,0.094,0.151,0.081,0.08,0.091,0.064,0.062,0.14,0.071,0.121,0.051
0.115,0.12,0.081,0.08,0.081,0.144,0.081,0.12,0.081,0.315,0.111,0.141,0.081,0.103,0.101,0.1,0.061,0.175,0.061,0.16,0.082
0.122,0.133,0.072,0.1,0.082,0.11,0.091,0.113,0.081,0.302,0.114,0.11,0.082,0.08,0.111,0.063,0.071,0.161,0.061,0.14,0.075
0.112,0.15,0.085,0.059,0.072,0.15,0.081,0.143,0.073,0.312,0.125,0.11,0.081,0.1,0.112,0.113,0.062,0.179,0.071,0.164,0.051
0.112,0.11,0.111,0.03,0.081,0.103,0.081,0.141,0.091,0.305,0.091,0.09,0.081,0.073,0.111,0.03,0.081,0.151,0.06,0.144,0.071
0.091,0.244,0.081,0.09,0.081,0.091,0.104,0.15,0.081,0.274,0.112,0.08,0.081,0.07,0.121,0.02,0.086,0.15,0.062,0.18,0.074
0.111,0.241,0.074,0.161,0.071,0.141,0.085,0.18,0.091,0.326,0.101,0.171,0.081,0.073,0.111,0.08,0.062,0.18,0.074,0.181,0.081
0.121,0.11,0.081,0.111,0.074,0.14,0.091,0.171,0.114,0.302,0.111,0.144,0.071,0.09,0.111,0.09,0.075,0.161,0.071,0.181,0.071
0.111,0.141,0.091,0.123,0.061,0.211,0.091,0.134,0.091,0.301,0.104,0.11,0.081,0.06,0.121,0.063,0.062,0.161,0.061,0.203,0.072
0.122,0.244,0.081,0.161,0.071,0.133,0.101,0.121,0.091,0.285,0.102,0.13,0.081,0.09,0.116,0.059,0.071,0.151,0.061,0.153,0.072
0.112,0.1,0.084,0.06,0.071,0.161,0.081,0.124,0.103,0.321,0.095,0.141,0.081,0.13,0.105,0.1,0.071,0.17,0.062,0.194,0.061
0.094,0.13,0.092,0.08,0.071,0.183,0.082,0.11,0.081,0.345,0.131,0.131,0.075,0.13,0.101,0.09,0.082,0.183,0.051,0.231,0.061
0.106,0.14,0.081,0.121,0.071,0.123,0.091,0.211,0.101,0.297,0.091,0.13,0.085,0.12,0.101,0.11,0.081,0.154,0.071,0.14,0.061
0.111,0.083,0.071,0.09,0.071,0.151,0.091,0.194,0.091,0.375,0.121,0.141,0.091,0.093,0.122,0.029,0.083,0.149,0.064,0.161,0.072
0.124,0.161,0.091,0.12,0.084,0.131,0.091,0.13,0.091,0.345,0.102,0.09,0.095,0.05,0.101,0.07,0.081,0.153,0.072,0.301,0.071
0.131,0.131,0.081,0.103,0.081,0.09,0.102,0.15,0.114,0.312,0.111,0.084,0.092,0.08,0.111,0.03,0.091,0.143,0.061,0.191,0.071
0.121,0.111,0.101,0.08,0.085,0.16,0.092,0.11,0.081,0.295,0.141,0.07,0.074,0.101,0.102,0.06,0.091,0.183,0.092,0.271,0.084
0.111,0.141,0.101,0.104,0.071,0.141,0.081,0.133,0.091,0.302,0.104,0.1,0.082,0.13,0.091,0.103,0.081,0.151,0.061,0.255,0.05
0.101,0.12,0.085,0.091,0.071,0.14,0.101,0.123,0.082,0.281,0.125,0.121,0.071,0.09,0.111,0.134,0.071,0.17,0.072,0.254,0.061
0.111,0.03,0.091,0.09,0.074,0.181,0.081,0.12,0.092,0.305,0.091,0.09,0.085,0.08,0.101,0.07,0.081,0.143,0.061,0.191,0.061
0.121,0.163,0.092,0.1,0.081,0.134,0.083,0.21,0.112,0.304,0.102,0.13,0.084,0.1,0.102,0.1,0.081,0.184,0.082,0.21,0.063
0.128,0.111,0.114,0.093,0.06,0.13,0.095,0.119,0.104,0.282,0.112,0.13,0.081,0.141,0.101,0.103,0.081,0.151,0.071,0.181,0.064
0.111,0.05,0.086,0.089,0.072,0.14,0.071,0.135,0.101,0.311,0.095,0.11,0.091,0.08,0.101,0.113,0.073,0.19,0.061,0.195,0.051
0.122,0.07,0.081,0.123,0.082,0.09,0.101,0.1,0.081,0.295,0.111,0.07,0.094,0.091,0.102,0.071,0.081,0.153,0.071,0.211,0.081
0.111,0.09,0.104,0.03,0.081,0.11,0.102,0.11,0.095,0.291,0.122,0.063,0.091,0.07,0.121,0.03,0.091,0.154,0.071,0.191,0.071
0.121,0.12,0.102,0.072,0.083,0.1,0.091,0.161,0.104,0.455,0.102,0.14,0.091,0.08,0.115,0.09,0.071,0.141,0.09,0.104,0.091
0.121,0.11,0.095,0.1,0.072,0.12,0.091,0.124,0.081,0.261,0.101,0.04,0.094,0.05,0.122,0.039,0.061,0.174,0.061,0.171,0.071
0.132,0.17,0.094,0.161,0.081,0.09,0.081,0.123,0.082,0.271,0.104,0.08,0.091,0.04,0.112,0.059,0.071,0.175,0.061,0.202,0.061
0.121,0.164,0.091,0.151,0.081,0.123,0.101,0.151,0.111,0.365,0.091,0.134,0.072,0.11,0.122,0.079,0.072,0.163,0.061,0.13,0.082
0.132,0.114,0.081,0.08,0.071,0.14,0.092,0.183,0.051,0.356,0.112,0.16,0.082,0.06,0.104,0.07,0.061,0.201,0.071,0.437,0.165
0.131,0.09,0.091,0.074,0.082,0.06,0.111,0.14,0.084,0.282,0.101,0.08,0.095,0.06,0.132,0.069,0.072,0.173,0.081,0.131,0.101
0.142,0.13,0.091,0.135,0.081,0.09,0.101,0.13,0.105,0.291,0.101,0.103,0.083,0.1,0.101,0.07,0.071,0.194,0.071,0.181,0.091
0.111,0.13,0.081,0.11,0.087,0.13,0.091,0.141,0.094,0.332,0.101,0.073,0.081,0.1,0.123,0.109,0.094,0.181,0.102,0.129,0.105
0.132,0.06,0.091,0.093,0.082,0.1,0.102,0.12,0.104,0.241,0.091,0.09,0.085,0.059,0.122,0.13,0.071,0.174,0.071,0.141,0.061
0.121,0.12,0.092,0.091,0.083,0.1,0.111,0.141,0.101,0.305,0.101,0.08,0.095,0.09,0.122,0.101,0.081,0.165,0.071,0.13,0.071
0.131,0.111,0.091,0.093,0.081,0.07,0.101,0.131,0.104,0.291,0.093,0.092,0.082,0.07,0.101,0.11,0.091,0.154,0.061,0.13,0.071
0.104,0.211,0.091,0.12,0.075,0.121,0.091,0.131,0.091,0.334,0.092,0.183,0.081,0.161,0.122,0.092,0.092,0.17,0.072,0.153,0.061
0.12,0.06,0.091,0.1,0.084,0.131,0.091,0.234,0.101,0.261,0.102,0.073,0.091,0.1,0.101,0.1,0.085,0.161,0.061,0.151,0.061
0.13,0.141,0.064,0.13,0.071,0.12,0.092,0.154,0.1,0.292,0.115,0.13,0.102,0.07,0.104,0.161,0.082,0.18,0.086,0.16,0.061
0.141,0.11,0.102,0.103,0.071,0.12,0.102,0.203,0.092,0.271,0.091,0.084,0.091,0.122,0.121,0.05,0.094,0.171,0.071,0.15,0.084
0.132,0.13,0.114,0.112,0.072,0.159,0.081,0.224,0.092,0.274,0.101,0.081,0.081,0.1,0.122,0.113,0.071,0.191,0.081,0.144,0.081
0.135,0.16,0.091,0.09,0.084,0.091,0.091,0.15,0.092,0.305,0.091,0.12,0.085,0.311,0.155,0.1,0.071,0.161,0.071,0.123,0.061
0.131,0.155,0.091,0.1,0.071,0.161,0.084,0.14,0.112,0.285,0.091,0.1,0.082,0.07,0.114,0.11,0.071,0.171,0.081,0.165,0.061
0.121,0.1,0.102,0.09,0.074,0.12,0.091,0.141,0.091,0.314,0.112,0.113,0.091,0.121,0.112,0.109,0.074,0.171,0.071,0.16,0.062
0.142,0.12,0.081,0.125,0.061,0.15,0.091,0.154,0.101,0.302,0.104,0.101,0.09,0.1,0.112,0.123,0.081,0.151,0.081,0.144,0.062
0.121,0.09,0.094,0.11,0.071,0.111,0.091,0.153,0.092,0.281,0.093,0.1,0.081,0.091,0.111,0.06,0.096,0.16,0.091,0.15,0.076
0.116,0.1,0.081,0.1,0.062,0.154,0.071,0.14,0.102,0.334,0.102,0.14,0.084,0.141,0.091,0.12,0.072,0.173,0.061,0.15,0.071
0.141,0.09,0.092,0.153,0.071,0.071,0.091,0.151,0.094,0.313,0.091,0.143,0.072,0.08,0.102,0.12,0.074,0.161,0.071,0.17,0.125
0.141,0.113,0.081,0.121,0.071,0.11,0.085,0.15,0.101,0.315,0.101,0.09,0.091,0.02,0.135,0.079,0.081,0.181,0.111,0.154,0.071
0.125,0.09,0.091,0.12,0.082,0.123,0.091,0.14,0.102,0.274,0.101,0.09,0.082,0.113,0.111,0.07,0.081,0.141,0.084,0.13,0.082
0.132,0.12,0.095,0.079,0.073,0.139,0.081,0.133,0.092,0.302,0.105,0.089,0.092,0.101,0.11,0.09,0.074,0.151,0.081,0.13,0.085
0.152,0.093,0.102,0.09,0.082,0.13,0.091,0.133,0.102,0.294,0.102,0.08,0.091,0.09,0.124,0.05,0.091,0.181,0.071,0.143,0.082
0.156,0.1,0.091,0.11,0.085,0.09,0.091,0.13,0.101,0.305,0.081,0.1,0.095,0.09,0.101,0.05,0.102,0.174,0.071,0.17,0.082
0.131,0.08,0.112,0.103,0.081,0.15,0.081,0.144,0.091,0.362,0.114,0.101,0.101,0.1,0.114,0.091,0.082,0.18,0.092,0.133,0.091
0.125,0.069,0.112,0.08,0.071,0.135,0.091,0.141,0.111,0.355,0.102,0.099,0.105,0.1,0.111,0.13,0.082,0.173,0.082,0.16,0.071
0.145,0.171,0.091,0.09,0.105,0.12,0.101,0.15,0.092,0.335,0.112,0.103,0.101,0.241,0.145,0.332,0.031,0.396,0.101,0.405,0.061
0.121,0.093,0.092,0.08,0.071,0.12,0.095,0.141,0.092,0.284,0.101,0.071,0.091,0.08,0.121,0.114,0.071,0.171,0.061,0.164,0.051
0.135,0.05,0.101,0.08,0.092,0.133,0.091,0.221,0.101,0.275,0.101,0.09,0.101,0.105,0.111,0.09,0.081,0.174,0.071,0.14,0.071
0.132,0.06,0.101,0.08,0.084,0.131,0.081,0.131,0.091,0.305,0.111,0.09,0.094,0.09,0.112,0.08,0.081,0.164,0.06,0.171,0.071
0.132,0.079,0.102,0.1,0.084,0.12,0.092,0.12,0.092,0.284,0.102,0.08,0.094,0.101,0.101,0.069,0.102,0.143,0.071,0.141,0.081
0.131,0.1,0.092,0.093,0.082,0.09,0.101,0.13,0.092,0.285,0.101,0.09,0.105,0.09,0.101,0.06,0.091,0.154,0.071,0.161,0.081
0.132,0.12,0.082,0.12,0.095,0.081,0.08,0.12,0.092,0.284,0.101,0.09,0.105,0.059,0.112,0.11,0.081,0.165,0.071,0.12,0.101
0.163,0.1,0.084,0.12,0.081,0.131,0.091,0.143,0.102,0.301,0.094,0.1,0.092,0.029,0.122,0.083,0.091,0.151,0.06,0.181,0.084
0.151,0.091,0.101,0.073,0.081,0.09,0.091,0.13,0.085,0.302,0.101,0.06,0.096,0.09,0.121,0.04,0.101,0.143,0.062,0.15,0.081
0.124,0.352,0.112,0.003,0.09,0.12,0.092,0.295,0.091,0.292,0.084,0.08,0.091,0.131,0.111,0.083,0.071,0.181,0.051,0.15,0.064
0.135,0.08,0.111,0.07,0.083,0.122,0.091,0.191,0.101,0.274,0.091,0.07,0.105,0.12,0.101,0.08,0.082,0.153,0.071,0.161,0.071
0.135,0.059,0.102,0.07,0.091,0.114,0.091,0.141,0.121,0.335,0.121,0.101,0.094,0.14,0.142,0.05,0.091,0.174,0.081,0.15,0.091
0.132,0.07,0.101,0.103,0.081,0.151,0.091,0.12,0.105,0.341,0.115,0.11,0.081,0.11,0.142,0.093,0.081,0.152,0.07,0.14,0.094
0.126,0.039,0.092,0.13,0.071,0.083,0.091,0.171,0.111,0.295,0.102,0.09,0.091,0.103,0.122,0.11,0.071,0.164,0.062,0.15,0.081
0.135,0.1,0.081,0.141,0.081,0.173,0.082,0.16,0.101,0.306,0.11,0.1,0.086,0.13,0.111,0.121,0.091,0.234,0.091,0.161,0.075
0.125,0.08,0.101,0.09,0.091,0.124,0.091,0.13,0.102,0.284,0.091,0.05,0.101,0.144,0.121,0.05,0.091,0.161,0.061,0.174,0.091
0.101,0.05,0.101,0.103,0.071,0.171,0.121,0.65,0.111,0.498,0.101,0.08,0.091,0.123,0.122,0.039,0.071,0.161,0.064,0.141,0.071
0.115,0.11,0.091,0.13,0.072,0.104,0.081,0.13,0.101,0.296,0.091,0.07,0.101,0.09,0.115,0.019,0.082,0.16,0.061,0.164,0.071
0.101,0.07,0.111,0.114,0.071,0.13,0.091,0.144,0.091,0.486,0.101,0.1,0.081,0.164,0.111,0.1,0.072,0.16,0.055,0.181,0.071
0.113,0.059,0.092,0.08,0.071,0.123,0.081,0.171,0.121,0.295,0.091,0.154,0.093,0.11,0.111,0.121,0.075,0.17,0.061,0.161,0.071
0.112,0.144,0.081,0.13,0.061,0.174,0.091,0.161,0.092,0.264,0.092,0.11,0.092,0.132,0.122,0.12,0.081,0.164,0.061,0.16,0.072
0.116,0.271,0.071,0.083,0.092,0.1,0.102,0.181,0.114,0.282,0.102,0.063,0.091,0.11,0.132,0.079,0.075,0.171,0.061,0.161,0.061
0.102,0.292,0.085,0.1,0.081,0.07,0.111,0.345,0.092,0.253,0.112,0.059,0.082,0.07,0.115,0.019,0.072,0.17,0.071,0.134,0.061
0.074,0.202,0.091,0.06,0.071,0.067,0.077,0.15,0.092,0.304,0.091,0.121,0.081,0.031,0.128,0.017,0.07,0.153,0.075,0.118,0.061
0.092,0.262,0.069,0.155,0.071,0.15,0.081,0.174,0.071,0.332,0.094,0.333,0.071,0.056,0.118,0.07,0.071,0.154,0.058,0.133,0.071
