Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,learn_rate,max_depth,n_estimators,voting_type,test_score,training_score,version,priority
2023-08-06 23:14:45,8.4s,550e40d3ff9e45d3af03d1790780c7fe,"CHILD n_est = 200, max_dep =3",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,3,200,,0.766875,0.7720312500000001,,
2023-08-06 23:14:38,7.3s,ecc39a829a0945388162f21df7aba390,"CHILD n_est = 100, max_dep =6",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,6,100,,0.896875,0.8989062499999999,,
2023-08-06 23:14:32,6.3s,a5ac1413f683406ca8c771955064e474,"CHILD n_est = 100, max_dep =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,5,100,,0.8725,0.86984375,,
2023-08-06 23:14:26,5.3s,a871269fb7ac496fa9470e05384424d3,"CHILD n_est = 100, max_dep =4",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,4,100,,0.8225,0.8209375,,
2023-08-06 23:14:22,4.2s,e083c7ac92af4ecb939461a5f4364aa3,"CHILD n_est = 100, max_dep =3",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,3,100,,0.7525,0.7540625,,
2023-08-06 23:14:18,3.7s,8235f81caa8248e9b99c00f10295307c,"CHILD n_est = 50, max_dep =6",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,6,50,,0.888125,0.89421875,,
2023-08-06 23:14:15,3.2s,68fabeaa31a444b792799dd773eae6cf,"CHILD n_est = 50, max_dep =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,5,50,,0.86875,0.8618750000000001,,
2023-08-06 23:14:13,2.7s,de25a3d0f03e404b850ce45e9f111fe6,"CHILD n_est = 50, max_dep =4",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,4,50,,0.785625,0.7954687500000001,,
2023-08-06 23:14:10,2.1s,701a6a6d65fd4d37a777ccd02843683b,"CHILD n_est = 50, max_dep =3",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,3,50,,0.746875,0.7420312499999999,,
2023-08-06 23:14:10,4.1min,77f2ae42e0204571a92ea0d5570fdb2a,RANDOM FOREST,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,v1,P1
