Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,Gamma,k,max_depth,max_leaf_nodes,min_sample_leaf,min_sample_split,smoothing,test_score,training_score,version,priority
2023-08-07 22:30:45,0.8s,653a65cff53f4a989551286b058d8f24,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,4,3,,0.844375,0.8221875000000001,,
2023-08-07 22:30:44,0.8s,6e29d8a57ad74119ba025bf150879aed,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,3,3,,0.84625,0.82875,,
2023-08-07 22:30:43,0.8s,a335459fe95540dbbd0acb97055abbe8,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,2,3,,0.845,0.8285937500000001,,
2023-08-07 22:30:43,0.8s,cba40b77cdf04a66b156dfae70eb3028,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,1,3,,0.846875,0.83140625,,
2023-08-07 22:30:42,0.8s,4193958d63924f08ab72a49b885ecb75,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,5,2,,0.8425,0.82265625,,
2023-08-07 22:30:41,0.8s,55dbf7aada684c5ba777493a8bdaa3e0,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,4,2,,0.844375,0.8221875000000001,,
2023-08-07 22:30:40,0.8s,c10ac394b70747c3ab223d2422cba346,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,3,2,,0.84625,0.82875,,
2023-08-07 22:30:39,0.8s,2e8ebbdfe78543269a195cf6ebc18261,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,2,2,,0.845,0.8285937500000001,,
2023-08-07 22:30:39,0.8s,3d1d31ef1a5b409db6db31ad2fca0240,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,1,2,,0.853125,0.8334374999999999,,
2023-08-07 22:30:39,11.8s,751a48290de64a16a199ba38b34fa4fe,DECISION TREE,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,,,,v2,P1
