mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.28351197242736814,0.002655237749085972,0.02206730842590332,0.0005241915254032907,0.001,1,"{'svm__C': 0.001, 'svm__degree': 1}",0.09365558912386707,0.09365558912386707,0.09365558912386707,0.09365558912386707,0.09365558912386707,0.09667673716012085,0.09365558912386707,0.09365558912386707,0.09365558912386707,0.09365558912386707,0.09395770392749245,0.0009063444108761337,30
0.29546380043029785,0.004363929896325837,0.023322868347167968,0.0005742801514089061,0.001,2,"{'svm__C': 0.001, 'svm__degree': 2}",0.09969788519637462,0.09667673716012085,0.09365558912386707,0.09365558912386707,0.1027190332326284,0.1027190332326284,0.09365558912386707,0.1027190332326284,0.09365558912386707,0.09365558912386707,0.09728096676737161,0.004008005788949127,29
0.28819286823272705,0.003494178971663548,0.02259836196899414,0.0006207176053151129,0.001,3,"{'svm__C': 0.001, 'svm__degree': 3}",0.11178247734138973,0.10876132930513595,0.11782477341389729,0.1299093655589124,0.12084592145015106,0.12084592145015106,0.12386706948640483,0.1148036253776435,0.10876132930513595,0.1148036253776435,0.11722054380664652,0.006451406798810462,28
0.2958429574966431,0.003672402427933363,0.02326803207397461,0.000548279536197245,0.001,4,"{'svm__C': 0.001, 'svm__degree': 4}",0.11782477341389729,0.11782477341389729,0.1268882175226586,0.13897280966767372,0.12084592145015106,0.1268882175226586,0.13897280966767372,0.12084592145015106,0.11782477341389729,0.12084592145015106,0.12477341389728099,0.007767347511892714,27
0.29262628555297854,0.0030582916495531516,0.023433685302734375,0.0005477109435509134,0.001,5,"{'svm__C': 0.001, 'svm__degree': 5}",0.13293051359516617,0.1299093655589124,0.13897280966767372,0.14803625377643503,0.13897280966767372,0.13293051359516617,0.14803625377643503,0.1268882175226586,0.1268882175226586,0.12386706948640483,0.13474320241691845,0.008129077974062662,26
0.2320399522781372,0.0030382777992688276,0.02245359420776367,0.0005835768672605613,0.01,1,"{'svm__C': 0.01, 'svm__degree': 1}",0.7613293051359517,0.7492447129909365,0.7613293051359517,0.7492447129909365,0.7583081570996979,0.7613293051359517,0.7220543806646526,0.7371601208459214,0.7522658610271903,0.743202416918429,0.7495468277945619,0.012042979714800455,16
0.2700477600097656,0.003043343007152854,0.02271380424499512,0.0004574609689442102,0.01,2,"{'svm__C': 0.01, 'svm__degree': 2}",0.26586102719033233,0.22658610271903323,0.24169184290030213,0.229607250755287,0.24169184290030213,0.229607250755287,0.2537764350453172,0.2537764350453172,0.229607250755287,0.2326283987915408,0.2404833836858006,0.01268882175226586,22
0.2608161926269531,0.002639351468112438,0.02233920097351074,0.0005493077572996019,0.01,3,"{'svm__C': 0.01, 'svm__degree': 3}",0.25075528700906347,0.22658610271903323,0.21450151057401812,0.22356495468277945,0.24471299093655588,0.22054380664652568,0.23867069486404835,0.24471299093655588,0.22054380664652568,0.2326283987915408,0.23172205438066468,0.011782477341389732,23
0.272409725189209,0.0034902007127413774,0.022442436218261717,0.0005553433884956734,0.01,4,"{'svm__C': 0.01, 'svm__degree': 4}",0.22054380664652568,0.19637462235649547,0.17522658610271905,0.21148036253776434,0.19939577039274925,0.19939577039274925,0.22658610271903323,0.21148036253776434,0.20241691842900303,0.2054380664652568,0.20483383685800605,0.013497467011292246,25
0.26975646018981936,0.005505597350925923,0.0222869873046875,0.00046472639952316455,0.01,5,"{'svm__C': 0.01, 'svm__degree': 5}",0.22054380664652568,0.19637462235649547,0.1782477341389728,0.21450151057401812,0.20241691842900303,0.20241691842900303,0.22356495468277945,0.21450151057401812,0.20241691842900303,0.2084592145015106,0.20634441087613292,0.012533213602834766,24
0.09594416618347168,0.0005414014532883778,0.016975045204162598,0.0001316622107968404,0.1,1,"{'svm__C': 0.1, 'svm__degree': 1}",0.9003021148036254,0.9003021148036254,0.8972809667673716,0.8942598187311178,0.9003021148036254,0.9093655589123867,0.8972809667673716,0.8640483383685801,0.8942598187311178,0.9003021148036254,0.8957703927492447,0.011324268769783269,6
0.16852796077728271,0.002804418410738535,0.019612503051757813,0.0008324380015192055,0.1,2,"{'svm__C': 0.1, 'svm__degree': 2}",0.8006042296072508,0.8096676737160121,0.7854984894259819,0.770392749244713,0.7854984894259819,0.8006042296072508,0.7764350453172205,0.7583081570996979,0.797583081570997,0.7945619335347432,0.787915407854985,0.015033057769939252,15
0.19212067127227783,0.01955945085674451,0.019277477264404298,0.0005683666422908182,0.1,3,"{'svm__C': 0.1, 'svm__degree': 3}",0.6253776435045317,0.6404833836858006,0.595166163141994,0.5921450151057401,0.5891238670694864,0.6102719033232629,0.5830815709969789,0.5891238670694864,0.6344410876132931,0.6102719033232629,0.6069486404833837,0.01950688635330264,18
0.218644380569458,0.0023365806011706076,0.02028777599334717,0.0005544546694353739,0.1,4,"{'svm__C': 0.1, 'svm__degree': 4}",0.4350453172205438,0.46827794561933533,0.4229607250755287,0.44410876132930516,0.4350453172205438,0.4501510574018127,0.4169184290030212,0.39274924471299094,0.4229607250755287,0.44108761329305135,0.4329305135951661,0.019534940375017774,20
0.22306475639343262,0.00240490000496381,0.0199371337890625,0.0006081803565871904,0.1,5,"{'svm__C': 0.1, 'svm__degree': 5}",0.3987915407854985,0.4078549848942598,0.3716012084592145,0.40483383685800606,0.37462235649546827,0.3867069486404834,0.3867069486404834,0.36555891238670696,0.39274924471299094,0.36555891238670696,0.3854984894259819,0.014874360876243106,21
