mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
9.437043118476868,0.07952497276002393,0.004642224311828614,0.00012281461251817982,0.01,100,0.8,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.8}",0.8882175226586103,0.9093655589123867,0.9244712990936556,0.8640483383685801,0.8972809667673716,0.8882175226586103,0.8912386706948641,0.8761329305135952,0.9335347432024169,0.9033232628398792,0.8975830815709971,0.019969308603819607,16
10.428786659240723,0.07995988079265193,0.004615592956542969,7.477658087069703e-05,0.01,100,0.9,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.9}",0.8821752265861027,0.9003021148036254,0.9214501510574018,0.8610271903323263,0.8942598187311178,0.8821752265861027,0.879154078549849,0.8761329305135952,0.9244712990936556,0.8972809667673716,0.8918429003021149,0.018953942164783213,17
11.339293599128723,0.013769463627992093,0.00390625,0.00017616493739776285,0.01,100,1.0,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 1.0}",0.8761329305135952,0.8972809667673716,0.9154078549848943,0.8610271903323263,0.8761329305135952,0.879154078549849,0.8851963746223565,0.8761329305135952,0.9154078549848943,0.8882175226586103,0.8870090634441088,0.016777575077842683,18
18.773007345199584,0.023310310428587742,0.008753824234008788,8.581994572273321e-05,0.01,200,0.8,"{'learning_rate': 0.01, 'n_estimators': 200, 'subsample': 0.8}",0.9123867069486404,0.9214501510574018,0.9244712990936556,0.9093655589123867,0.9274924471299094,0.9214501510574018,0.918429003021148,0.9123867069486404,0.945619335347432,0.9214501510574018,0.9214501510574017,0.009742909665617598,13
20.764031219482423,0.04280936507493999,0.008604907989501953,0.0001670494096032129,0.01,200,0.9,"{'learning_rate': 0.01, 'n_estimators': 200, 'subsample': 0.9}",0.918429003021148,0.918429003021148,0.9274924471299094,0.9093655589123867,0.9244712990936556,0.9244712990936556,0.9123867069486404,0.9093655589123867,0.9425981873111783,0.9214501510574018,0.920845921450151,0.00943836818840685,14
22.68031690120697,0.006449647523175909,0.007734513282775879,0.00021766878415332102,0.01,200,1.0,"{'learning_rate': 0.01, 'n_estimators': 200, 'subsample': 1.0}",0.918429003021148,0.918429003021148,0.9305135951661632,0.9063444108761329,0.9274924471299094,0.9214501510574018,0.9154078549848943,0.9033232628398792,0.9425981873111783,0.918429003021148,0.9202416918429004,0.010825663363848295,15
28.161816120147705,0.013689183522045081,0.013067340850830078,0.0002684969901018133,0.01,300,0.8,"{'learning_rate': 0.01, 'n_estimators': 300, 'subsample': 0.8}",0.9305135951661632,0.9335347432024169,0.9516616314199395,0.9425981873111783,0.9425981873111783,0.9425981873111783,0.9425981873111783,0.9154078549848943,0.9637462235649547,0.9395770392749244,0.9404833836858006,0.012088367990176756,10
31.240060901641847,0.1736875078316219,0.012919425964355469,0.0003505109587206244,0.01,300,0.9,"{'learning_rate': 0.01, 'n_estimators': 300, 'subsample': 0.9}",0.9274924471299094,0.9305135951661632,0.945619335347432,0.9425981873111783,0.9365558912386707,0.9395770392749244,0.9365558912386707,0.9093655589123867,0.9577039274924471,0.9395770392749244,0.9365558912386707,0.012008825930121933,11
34.06560649871826,0.04648747379607774,0.011485123634338379,0.00037626968243840606,0.01,300,1.0,"{'learning_rate': 0.01, 'n_estimators': 300, 'subsample': 1.0}",0.9274924471299094,0.9274924471299094,0.9516616314199395,0.9365558912386707,0.9365558912386707,0.9335347432024169,0.9395770392749244,0.9033232628398792,0.9577039274924471,0.9335347432024169,0.9347432024169183,0.013923527035411358,12
9.403244280815125,0.005889875545465113,0.005028533935546875,0.00012196590384110423,0.1,100,0.8,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.8}",0.9577039274924471,0.9546827794561934,0.9788519637462235,0.9516616314199395,0.9546827794561934,0.9637462235649547,0.9486404833836858,0.9365558912386707,0.9697885196374623,0.9607250755287009,0.9577039274924471,0.011059217654213369,7
10.40000524520874,0.0054825452402435925,0.005025529861450195,8.440921487209345e-05,0.1,100,0.9,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.9}",0.9577039274924471,0.9486404833836858,0.972809667673716,0.9546827794561934,0.9637462235649547,0.9486404833836858,0.9546827794561934,0.9395770392749244,0.9788519637462235,0.9486404833836858,0.956797583081571,0.011388566057384149,8
11.366613221168517,0.00919351325941017,0.0051432371139526365,0.00013925049536229144,0.1,100,1.0,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 1.0}",0.9425981873111783,0.945619335347432,0.9607250755287009,0.9607250755287009,0.9637462235649547,0.9607250755287009,0.9546827794561934,0.9305135951661632,0.9758308157099698,0.9516616314199395,0.9546827794561933,0.012084592145015092,9
18.87526080608368,0.09403926071545204,0.009043455123901367,0.00013868966748467333,0.1,200,0.8,"{'learning_rate': 0.1, 'n_estimators': 200, 'subsample': 0.8}",0.972809667673716,0.9546827794561934,0.9818731117824774,0.9577039274924471,0.9637462235649547,0.9697885196374623,0.9516616314199395,0.9486404833836858,0.9758308157099698,0.9546827794561934,0.963141993957704,0.010791885860720097,6
